CRS,Tiploc,Description,Stannox
,HNDSCS,QUEENS HEAD SDG A&D LINE,65203
THW,HNDSHWT,THE HAWTHORNS,65196
,HNDSQHD,HANDSWORTH QUEENS HEAD SDG,65204
,HNDSQHG,HANDSWORTH QNS HEAD (GBRF),65206
HRR,HNGT,HARRINGTON,10057
,HNIARTH,HENIARTH,0
HOT,HNLYOT,HENLEY-ON-THAMES,74029
,HNSL487,HUNSLET STN JN SIG 4487,17164
,HNSLCR,HUNSLET YARD COLAS RAIL,17166
,HNSLCSL,HUNSLET EAST (LCSL),17124
,HNSLFHH,HUNSLET YARD (FLHH),17169
,HNSLGBF,HUNSLET DOWN SIDINGS GBRF,0
,HNSLMID,MIDDLETON LIGHT RAILWAY,17165
,HNSLSOJ,HUNSLET SOUTH JN,17167
,HNSLSS,HUNSLET S.S.,17170
,HNSLTE,HUNSLET EAST T.C.,17120
,HNSLTGB,HUNSLET TILCON GBRF,17123
,HNSLTH,HUNSLET EAST HANSON,17121
,HNSLTIL,HUNSLET TILCON,17119
,HNSLTPL,HUNSLET TPL GBRF,17171
,HNSLTSJ,HUNSLET STATION JN,17163
HUS,HNSTNTN,HUNSTANTON BUS STATION,0
HNT,HNTL,HUNTLY,2021
,HNTLY,HUNTLY YARD,2022
,HNTNDSD,HUNTINGDON DOWN SIDINGS,45203
HUN,HNTNGDN,HUNTINGDON,45201
,HNTNNJN,HUNTINGDON NORTH JN,45205
,HNTNP33,HUNTINGDON SIG P33,45198
,HNTNP38,HUNTINGDON SIG P38,45204
,HNTNP39,HUNTINGDON SIG P39,45202
,HNTNP40,HUNTINGDON SIG P40,45199
,HNTRDRS,HUNTERSTON LL DRS,8207
,HNTRFHH,HUNTERSTON HIGH LEVEL FHH,8214
,HNTRGBF,HUNTERSTON (GBRF),8203
,HNTRLFL,HUNTERSTON LL FHH,8215
,HNTRSCB,HUNTERSTON COAL BUNKER,8206
,HNTRSHL,HUNTERSTON H.L. EWS,8209
,HNTRSJN,HUNTERSTON JUNCTION,8210
,HNTRSLL,HUNTERSTON L.L. EWS,8211
,HNTRSOB,HUNTERSTON ORE BUNKER,8205
,HOCK636,LIVERPOOL STREET SIG L636,50317
HOC,HOCKLEY,HOCKLEY,50318
HVH,HOEKVHL,HOEK VAN HOLLAND,0
,HOLBFHH,HOLBECK LOCO SHED (FHH),17153
,HOLBJCN,HOLBECK JUNCTION,17151
,HOLBSDG,HOLBECK LOCO SIDINGS,17150
HOD,HOLINWD,HOLLINWOOD (METRO),0
XHO,HOLME,HOLME JN.,45150
,HOLSCAT,HOLSWORTHY CATTLE MARKET,0
,HOLSCHR,HOLSWORTHY CHURCH,0
XEE,HOLSLIB,HOLSWORTHY LIBRARY,0
HOL,HOLTONH,HOLTON HEATH,86961
,HOLYTNJ,HOLYTOWN JN,7431
HLY,HOLYTWN,HOLYTOWN,7397
HMN,HOMRTON,HOMERTON,52042
,HONDEGM,HONDEGHEM,761
,HONI2,HONITON SIGNAL NO H2,83467
,HONI21,HONITON SIGNAL H21,83463
,HONI803,HONITON SIG 4803,83455
,HONI808,HONITON SIGNAL 4808,83459
,HONICE,HONITON ISU (CE),83462
,HONIT3T,HONITON (THREE TUNS),0
,HONITNS,HONITON STATION,0
HON,HONITON,HONITON,83461
HOY,HONLEY,HONLEY,18489
HPA,HONROPK,HONOR OAK PARK,87628
HYB,HONYBRN,HONEYBOURNE,67356
,HONYBTP,HONEYBOURNE CCE TIP,67357
,HONYBWJ,HONEYBOURNE WEST JN,67355
,HONYHUT,HONEYBOURNE STAFF HUT,67365
,HONYNJN,HONEYBOURNE NORTH JN,67354
,HONYSID,HONEYBOURNE SIDINGS,67366
,HOOFDOR,HOOFDDORP,933
,HOOJ,HOO JUNCTION,88740
,HOOJ230,SIGNAL D 230,88733
,HOOJ502,HOO JUNCTION SIGNAL NK502,88723
,HOOJ511,HOO JUNCTION SIGNAL NK511,88739
,HOOJ512,HOO JUNCTION SIGNAL NK512,0
,HOOJ611,HOO JUNCTION SIGNAL NK1611,88733
,HOOJ620,HOO JUNCTION SIGNAL NK1620,88742
,HOOJD16,HOO JUNCTION SIGNAL NK443,88741
,HOOJDYD,HOO JUNCTION DOWN YARD,88729
,HOOJLHR,HOO JUNCTION-LWR HIGHAM RD,0
,HOOJLHS,HOO JUNCTION FUEL POINT,88732
,HOOJSFH,HOO JN STAFF HALT,88725
XHJ,HOOJUYD,HOO JUNCTION UP YARD,88730
HOK,HOOK,HOOK,86049
HOO,HOOTON,HOOTON,38302
,HOOTSJN,HOOTON SOUTH JUNCTION,38303
,HOOVICR,HOO JN. VICTA RAILFREIGHT,0
HPE,HOPC,HOPE (FLINTSHIRE),41025
HOP,HOPD,HOPE (DERBYSHIRE),34010
,HOPDPOL,HOPE POOL SIDINGS,34012
,HOPSPPS,HOPE ST PEAKSTONE P.SDGS,31523
HPT,HOPTONH,HOPTON HEATH,79098
,HORB226,HORBURY MARCROFT SIG HM226,0
,HORBMAF,HORBURY STORRS HILL,18415
,HORBMAR,HORBURY MARCROFT ENG,18416
XHB,HORBOM,HORBURY BOMBARDIER,18413
,HORBRSJ,HORBURY STATION JN,18412
,HORBRYJ,HORBURY JN,18414
,HORBUGL,HORBURY UP GOODS LOOP,18417
HRE,HORD,HORDEN,13703
,HORD137,HORDEN SIGNAL NS7137,13700
,HORD148,HORDEN SIGNAL NS7148,13701
,HORFDJN,HORFIELD JUNCTION,81304
HOR,HORLEY,HORLEY,87909
HGI,HORNBUS,HORNDEAN PRECINCT,0
,HORS201,HORSHAM 2001 POINTS,87949
,HORS401,HORSHAM T1401,88011
,HORS410,HORSHAM SIGNAL 1410,87942
,HORS417,HORSHAM SIGNAL 1417,87989
,HORS76,HORSHAM SIGNAL CPB76,87941
,HORS836,HORSHAM SIGNAL T836,88020
,HORS837,HORSHAM T837,88008
,HORSBS,HORSHAM DOWN SIDINGS NORTH,87992
,HORSDL,HORSHAM DOWN LOOP,87947
,HORSDS,HORSHAM CARRIAGE SIDINGS,87947
,HORSGBR,HORSHAM UP TC GBRF,87944
HRH,HORSHAM,HORSHAM,87941
,HORSHUS,HORSHAM UP T.C.,87945
,HORSMS,HORSHAM DOWN SIDINGS SOUTH,88001
,HORSTLS,HORSHAM THAMESLINK SIDINGS,88007
,HORSUKF,HORSHAM CHIPMAN SIDING,87943
,HORSUL,HORSHAM UP LOOP,87941
,HORSUS,HORSHAM UP SIDINGS SOUTH,87946
HWI,HORWICH,HORWICH PARKWAY,30225
HSC,HOSCAR,HOSCAR,35024
,HOTH343,HOTHFIELD SIGNAL ME343,89471
,HOTHFLD,HOTHFIELD,89413
HGN,HOUGHGR,HOUGH GREEN,36703
,HOUN443,HOUNSLOW SIGNAL F443,87127
,HOUN448,HOUNSLOW SIGNAL F448,87127
,HOUNSLJ,HOUNSLOW JN,87140
HOU,HOUNSLW,HOUNSLOW,87141
HOV,HOVE,HOVE,88103
,HOVE400,HOVE SIGNAL 1400,88102
,HOVE672,HOVE SIG. T672,0
,HOVE673,HOVE SIG. T673,87980
,HOVE674,HOVE SIG. T674,87980
,HOVE675,HOVE SIG. T675,88104
,HOVEUSG,HOVE UP SIDINGS,88105
,HOVEYD,HOVE YARD,88101
HOW,HOWDEN,HOWDEN,19221
,HOWEACS,HOWE & CO SDGS,9413
HOZ,HOWOOD,HOWWOOD,7102
HWW,HOWWOOD,HOW WOOD,71034
HOX,HOXTON,HOXTON,52080
HYK,HOYLAKE,HOYLAKE,38004
,HOYLCHS,HOYLAKE C.H.S.,38004
,HRBRNSJ,HERBRANDSTON JN,80110
,HRDNDLQ,HARDENDALE QUARRY,9322
,HRDQFHH,HARDENDALE QRY SHAP (FHH),9317
,HRDQGBF,HARDENDALE QUARRY GBRf,9323
HGY,HRGY,HARRINGAY,54202
,HRGY419,HARRINGAY SIG K85,54212
,HRGY421,HARRINGAY SIGNAL K421,54207
,HRGY422,HARRINGAY SIG K422,54217
,HRGY81,HARRINGAY SIG K81,54210
HRY,HRGYGL,HARRINGAY GREEN LANES,51561
,HRGYJN,HARRINGAY JUNCTION,0
,HRGYPJN,HARRINGAY PARK JN,51562
XHU,HRGYURV,HARRINGAY UP REV SDGS,54210
,HRGYWJN,HARRINGAY WEST JN,54205
HRL,HRLC,HARLECH,64422
HRO,HRLDWOD,HAROLD WOOD,50333
HLN,HRLG,HARLINGTON,62203
,HRLGSSJ,SUNDON SOUTH JN,62206
,HRLGSUL,SUNDON UP LOOP,62207
HRD,HRLNGRD,HARLING ROAD,48521
,HRLSCTX,HARLESCOTT X,64219
,HRLWAIG,HARLOW MILL AI GBRF,47607
,HRLWFHH,HARLOW MILL FHH,47605
,HRLWMBA,HARLOW MILL BARDON AGGS,47602
,HRLWMDG,HARLOW MILL D.G.L.,47606
,HRLWMGB,HARLOW MILL REC (GBRF),47604
HWM,HRLWMIL,HARLOW MILL,47603
,HRLWMLY,HARLOW MILL RECP.,47601
,HRLWMRR,HARLOW MILL EWS RUN ROUND,47600
HWN,HRLWTWN,HARLOW TOWN,47611
HBP,HRNBPK,HORNBEAM PARK,16101
,HRNCHUR,HORNCHURCH,0
HNB,HRNEBAY,HERNE BAY,89483
,HRNEBLX,HERNE BAY LONDON END XOVER,89491
,HRNS176,HORNSEY EMUD SIGNAL HY176,54218
,HRNS426,HORNSEY SIG K426,0
,HRNS431,HORNSEY SIG K431,54203
,HRNS432,HORNSEY SIG K432,0
,HRNS433,HORNSEY SIG K433,54196
,HRNS438,HORNSEY SIG K438,54200
,HRNS440,HORNSEY SIG K440,54204
,HRNS448,WOOD GREEN SIGNAL K448,54199
,HRNS451,WOOD GREEN K451,54199
,HRNS453,WOOD GREEN K453,54199
,HRNSDR1,HORNSEY DN REV SDG NO 1,54203
,HRNSDR2,HORNSEY DN REV SDG NO 2,54203
,HRNSDRS,HORNSEY DN REVERSING SDGS,54203
,HRNSTPL,TURNPIKE LANE BUS,0
,HRNSURS,HORNSEY UP REVERSING SDGS,54203
,HRNSWGB,WOOD GREEN LT STN BUS,0
HRN,HRNSY,HORNSEY,54203
XHS,HRNSYCS,HORNSEY C.H.S.,54201
,HRNSYES,HORNSEY C.H.S.E.M.U,54206
XHE,HRNSYMD,HORNSEY E.M.U.D.,54208
,HRNSYRS,HORNSEY R.R.L.,54203
HRW,HROW,HARROW & WEALDSTONE,72007
,HROW305,HARROW DC SIGNAL WS305,72018
,HROW307,HARROW D.C. TURNBACK WS307,72018
,HROWDC,HARROW & WEALDSTONE D.C.,72017
,HRPN563,HARPENDEN SIGNAL WH563,62421
,HRPN565,HARPENDEN SIGNAL WH565,62420
,HRPNCG,CHILTERN GREEN,62415
HPD,HRPNDN,HARPENDEN,62422
,HRPNDNJ,HARPENDEN JN,62423
,HRPNSAN,SANDRIDGE,62425
,HRSB,HURSTBOURNE VIADUCT,86068
HSY,HRSLEY,HORSLEY,87070
HRM,HRSM,HARRIETSHAM,89406
,HRST312,HURST GREEN SIGNAL 312,87754
HUR,HRSTGRN,HURST GREEN,87753
,HRSTJN,HURST GREEN JN,87754
,HRTBJN,HARTBURN JN,15227
,HRTH,HARTSHILL,0
,HRTHENG,HARTSHILL (ENG TRAINS),69010
,HRTL20,"HARTLEPOOL BSC 20"" MILL",14241
HPL,HRTLEPL,HARTLEPOOL,14225
,HRTLNK,HARTLEPOOL DK LINK FLOW,14224
,HRTLPDA,HARTLEPOOL DOCK AREA,14223
,HRTLPSW,HARTLEPOOL STH WORKS,14240
,HRTLREP,HARTLEPOOL STH WKS REPAIR,14242
,HRTLSWP,HARTLEPOOL STH WKS RAMCO,14243
,HRTNRDJ,HORTON ROAD JN,68103
,HRTPE,HARTHOPE (LOWTHER),7986
HTW,HRTW,HARTWOOD,7436
,HRWDENJ,HARROWDEN JN,61011
HRS,HSFT,HORSFORTH,17105
XLB,HSFTLBD,LEEDS BRADFORD AIRPORT,0
,HSFTTBS,HORSFORTH TURNBACK SIDINGS,17104
,HSSY,HESSAY,16121
HTE,HTCHEND,HATCH END,72005
HTC,HTCP,HEATON CHAPEL,32517
,HTFDFHH,HOTHFIELD TARMAC (FLHH),89426
,HTFDGBR,HOTHFIELD TARMAC GBRF,89416
XHF,HTFDSD,HOTHFIELD SIDING,89409
HFS,HTFLASF,HATFIELD & STAINFORTH,23022
,HTFLFHH,HATFIELD MAIN COLLIERY FHH,23010
,HTFLGBF,HATFIELD MAIN COLLIERY GBF,23009
,HTFLMBC,HATFIELD MAIN MINING,23011
,HTHFECC,HEATHFIELD E.C.C.,83617
,HTHFLD,HEATHFIELD PLATFORM,83618
,HTHFLDO,HEATHFIELD GULF OIL,83615
,HTHR302,HITHER GREEN SIG TL1302,88538
,HTHR311,HITHER GREEN SIG TL1311,88537
,HTHRDGA,HITHER GREEN DN GOODS/ARR,88536
,HTHRGDD,HITHER GREEN T.M.D.,88448
HGR,HTHRGRN,HITHER GREEN,88451
XHG,HTHRGRS,HITHER GREEN DOWN RECP.,88450
,HTHRGUS,HITHER GREEN UP RECP.,88454
XHX,HTHRLCS,HITHER GREEN LOCO SDGS,88449
XHI,HTHRPAD,HITHER GREEN P.A.D.,88455
,HTHRSDG,HITHER GREEN SIDINGS,88458
,HTHRUGD,HITHER GREEN UP GOODS/DEP,88535
HUT,HTNCRNS,HUTTON CRANSWICK,19018
,HTNOJN,HEATON NORRIS JN,32525
HIR,HTNRIBL,HORTON-IN-RIBBLESDALE,9513
,HTONECD,HEATON ECD,12715
,HTONNJN,HEATON NORTH JN,12716
,HTONSJN,HEATON STH. JN.,12710
XHT,HTONTMD,HEATON T&R.S.M.D.,12714
HPK,HTPK,HEATON PARK,0
XBE,HTPKBUS,HEATON PARK BUS STOP,0
,HTRBUS2,HEATHROW TERMINAL 2 BUS,0
,HTRBUS3,HEATHROW TERMINAL 3 BUS,0
HWF,HTRBUS4,HEATHROW TERMINAL 4 BUS,0
HWX,HTRBUS5,HEATHROW TERMINAL 5 BUS,0
,HTRWAJN,HEATHROW AIRPORT JN,73775
HXX,HTRWAPT,HEATHROW TERMINALS 2 & 3,73778
HTR,HTRWCBS,HEATHROW CENTRAL BUS STN,0
,HTRWT5S,HEATHROW TERMINAL 5 SPUR,0
,HTRWTJN,HEATHROW TUNNEL JN.,73784
HWA,HTRWTM2,HEATHROW TERMINAL 2 BUS,0
HWE,HTRWTM3,HEATHROW TERMINAL 3 BUS,0
HAF,HTRWTM4,HEATHROW TERMINAL 4,73777
HWV,HTRWTM5,HEATHROW TERMINAL 5,73767
ZHJ,HTRWUND,HEATHROW UNDERGROUND,0
HKN,HUCKNAL,HUCKNALL,55098
HUL,HULL,HULL,19105
,HULL59,HULL SIGNAL HR59,19128
,HULLARJ,ANLABY ROAD JN,19107
,HULLBGJ,HULL BRIDGES JN,19126
,HULLBIG,HULL BIOMASS GBRF,19132
,HULLBIO,HULL BIOMASS LP (DBC),19131
,HULLBQS,HULL K G V DOCK B QUAY SDG,19130
HUU,HULLBS,HULL PARAGON INTERCHANGE,0
,HULLBT,HULL BULK TERMINAL GBRF,19124
,HULLCGB,HULL COAL TERMINAL (GBRF),19120
,HULLCT,HULL COAL TERMINAL,19114
,HULLDCT,HULL DAIRYCOATES TILCON,19167
,HULLDKG,HULL DOCK SECURITY GATES,19123
XBG,HULLDMU,BOTANIC GARDENS D.M.U.D.,19101
,HULLDTG,HULL DAIRYCOATES TLCN GBRF,19166
,HULLFHH,HULL YARD (FLHH),19171
,HULLHRC,HULL HEDON RD COAL SDGS,19116
,HULLHRS,HEDON ROAD SIDINGS,19115
,HULLKGD,HULL KING GEORGE V DOCK,19121
,HULLKGF,HULL KINGSTON TERMINAL FHH,19119
,HULLKGG,HULL KING GEO V DOCK GBRF,19122
,HULLMAR,HULL SALTEND MARCROFT,19112
,HULLSBN,SPRING BANK NORTH JN,19127
,HULLSBP,HULL SALTEND B.P.,19111
,HULLSBS,SPRING BANK SOUTH JN,19129
,HULLSNS,HULL SALTEND NEW SIDINGS,19117
,HULLSS,HULL STATION SIDINGS,19106
,HULLSTF,HULL STEEL TERMINAL (FLHH),19118
,HULLSTT,HULL DOCKS STEEL TERML EWS,19113
,HULLWLN,WALTON STREET JN,19035
,HULLWPN,WEST PARADE NORTH JN,19039
,HULLY,HULL S.S.,19170
HCT,HUNCOAT,HUNCOAT,29059
,HUNGDGL,HUNGERFORD LOOP,74815
HGD,HUNGRFD,HUNGERFORD,74815
HUB,HUNMNBY,HUNMANBY,19004
HNX,HUNTSX,HUNTS CROSS,36702
,HUNTSXS,HUNTS CROSS SIDING,36702
,HUNTXWJ,HUNTS CROSS WEST JN,36701
,HURLFD,HURLFORD,8734
HSE,HURSLEY,HURSLEY (POST OFFICE),0
,HUYTJUN,HUYTON JN,36606
HUY,HUYTON,HUYTON,36605
,HVRTBSB,BELASIS LANE S.B.,15015
,HVRTDRR,HAVERTON HILL REPAIR (DRS),15017
,HVRTDRS,HAVERTON HILL EX. S. (DRS),15016
,HVRTFHH,HAVERTON HILL EX.S. (FHH),15019
,HVRTHEG,HAVERTON HILL EX.S.,15020
,HVRTWRP,HAVERTON HILL (MARCROFT),15018
,HVTH,HAVERTHWAITE,0
HKH,HWKHEAD,HAWKHEAD,7116
,HWKHSHL,PAISLEY HAWKHEAD SHELL,7123
,HWKRJN,HAWKERIDGE JN,82086
,HWKSWTH,HAWKSWORTH,0
,HWRDJN,HEYWOOD ROAD JN,82092
,HWYC139,HIGH WYCOMBE SIGNAL ME139,73498
,HWYC152,HIGH WYCOMBE SIG ME152,73497
,HWYC641,HIGH WYCOMBE SIGNAL ME641,73498
,HWYCENG,HIGH WYCOMBE ENGINEERS SDG,73498
HWY,HWYCOMB,HIGH WYCOMBE,73503
,HWYCWW,WEST WYCOMBE,73506
HDB,HYDB,HAYDON BRIDGE,13313
,HYDBFST,FOURSTONES,13314
HYC,HYDEC,HYDE CENTRAL,32216
,HYDEJ,HYDE JN,32213
HYT,HYDEN,HYDE NORTH,32214
HYR,HYDNSRD,HAYDONS ROAD,87615
HKM,HYKEHAM,HYKEHAM,44068
XHD,HYNDLDL,HYNDLAND LOOP,6355
,HYNDLEJ,HYNDLAND EAST JN,6353
HYN,HYNDLND,HYNDLAND,6354
,HYNDLNJ,HYNDLAND NORTH JN,6224
,HYNDLWJ,HYNDLAND WEST JN,6356
,HYTHEK,HYTHE (KENT),0
,HYTW,HYTHE WATERSIDE,0
,HYWDJN,HAYWOOD JN,23409
,HYWR225,HAYWARDS HEATH SIG 1225,87955
,HYWR226,HAYWARDS HEATH SIG 1226,87960
,HYWR350,HAYWARDS HEATH SIG. T350X,87956
,HYWRDNK,HAYWARDS HEATH DOWN NECK,87982
HHE,HYWRDSH,HAYWARDS HEATH,87967
,HYWRDSN,HAYWARDS HEATH DN SDG NTH,87961
,HYWRDSS,HAYWARDS HEATH DN SDG STH,87962
,HYWRUS,HAYWARDS HEATH UP SIDING,87968
IBM,IBMM,I.B.M.,7002
,IBROXJN,IBROX JN,7203
,IDRID,IDRIDGEHAY,0
IFI,IFIELD,IFIELD,87933
,ILFE336,ILFORD SIGNAL L336,50427
,ILFE341,ILFORD SIG L341,50424
,ILFE507,LIVERPOOL STREET SIG L5087,50426
,ILFEFLR,ILFORD EMUD WHEEL LATHE RD,50425
,ILFEL5D,ILFORD LEVEL 5 DEPOT,50420
,ILFELEJ,ILFORD LON END JUNCTION,50419
XIF,ILFEMUD,ILFORD E.M.U.D.,50422
ZNP,ILFENBP,NEWBURY PARK,0
ZRE,ILFERDB,REDBRIDGE LT STATION,50428
IFD,ILFORD,ILFORD,50423
ILN,ILKES,ILKESTON,56547
,ILKESJN,ILKESTON JUNCTION,56548
ILK,ILKLEY,ILKLEY,17055
,IMMDGBR,IMMINGHAM MINERAL QUAY GBR,21248
,IMMDRP,IMMINGHAM MINERAL QUAY RP,21243
,IMNG213,IMMINGHAM SIGNAL 213,0
,IMNG253,IMMINGHAM SIGNAL 253,21252
,IMNG7FH,IMMINGHAM REC LINE 7(FLHH),21188
,IMNGA2,IMMINGHAM A2 SIDING,21237
,IMNGABF,IMMINGHAM A2 AND B4 (FLHH),21192
,IMNGB4S,IMMINGHAM B4 SIDINGS (DBS),21223
,IMNGBFL,IMMINGHAM BULK TERM (FHH),21218
,IMNGBIO,IMMINGHAM BIOMASS LP (DBC),21249
,IMNGBR7,IMMINGHAM RR7 GBRF,21247
,IMNGCIT,IMMINGHAM BULK TERML CP1,21203
,IMNGCLA,IMMINGHAM PAD 2,21221
,IMNGCPG,IMMINGHAM CPL GBRF,21185
,IMNGCPL,IMMINGHAM CPL (FHH),21187
,IMNGCT2,IMMINGHAM BULK TERML CP2,21207
,IMNGDCR,IMMINGHAM DOCK COLAS RAIL,21245
,IMNGDFL,IMMINGHAM TMD (FHH),0
,IMNGENG,IMMINGHAM ENGINE LINE,21225
,IMNGENR,IMMINGHAM PAD 1,21213
,IMNGESL,IMMINGHAM ESL GBRF,21242
,IMNGEXX,IMMINGHAM DK EXXTOR F'LINR,21227
,IMNGFHH,IMMINGHAM DOCK C.T. (FHH),21217
,IMNGHAF,IMMINGHAM ESL (FLHH),21191
,IMNGHAR,IMMINGHAM HARGREAVES C.T.,21211
,IMNGHEJ,IMMINGHAM EAST JN.,21241
,IMNGHFH,IMMINGHAM DOCK ORE TML FHH,21186
,IMNGHFL,HUMBER OIL REFINERY (FHH),21222
,IMNGHFS,IMMINGHAM NORSK HYDRO,21231
,IMNGHGB,IMMINGHAM RR1 GBRF,21240
,IMNGHIG,IMMINGHAM H.I.T. (GBRF),21239
,IMNGHIT,HUMBER INTERNATIONAL TERM,21230
,IMNGHMQ,IMMINGHAM MINERAL QUAY,21228
,IMNGHOR,HUMBER OIL REFINERY,21205
,IMNGHOT,IMMINGHAM B.S.C. ORE TML,21208
,IMNGHQY,IMMINGHAM HENDERSON QUAY,21236
,IMNGHRJ,HUMBER ROAD JN,21206
,IMNGHRR,IMMINGHAM HIT HEADSHUNT RR,21250
,IMNGHRS,IMMINGHAM RECEPTION SDGS,21200
,IMNGHWJ,IMMINGHAM WEST JN.,21219
,IMNGITF,IMMINGHAM IMPORT TERM FHH,21232
,IMNGKAP,KILLINGHOLME ADMIRALTY PFM,21216
,IMNGKGE,KILLINGHOLME,21215
,IMNGLCR,LINDSEY OIL REFINERY COLAS,21195
,IMNGLGB,LINDSEY OIL REFINERY GBRf,21197
,IMNGLL7,IMMINGHAM LOADING LINE 7,21246
,IMNGLOF,LINDSEY OIL REFINERY (FL),21190
,IMNGLOR,LINDSEY OIL REFINERY,21204
,IMNGMAF,IMMINGHAM YARD (FHH),21224
,IMNGMAR,IMMINGHAM YARD MARCROFT,21202
,IMNGNIG,IMMINGHAM NCB 1 (GBRF),21189
,IMNGNOG,IMMINGHAM NORDIC GBRF,21194
,IMNGNOR,IMMINGHAM DOCK NORDIC,21201
,IMNGPUM,IMMINGHAM PUMA GBRF,21253
,IMNGREF,IMMINGHAM RECEPTION (FLHH),21193
,IMNGRFT,IMMINGHAM RAILFREIGHT TERM,21251
,IMNGRID,IMMINGHAM DOCK (RIDLEYS),21235
,IMNGRSG,IMMINGHAM RECEP SDGS GBRF,21199
,IMNGRSW,IMMINGHAM S.S. (WEST RECP),21200
,IMNGSAP,IMMINGHAM STORAGE ACID PLT,21229
,IMNGSMA,IMMINGHAM GLOBAL SHIPPING,21261
,IMNGSS,IMMINGHAM SORTING SIDINGS,21244
,IMNGSTO,IMMINGHAM MIN QUAY STORA,21226
,IMNGSWT,IMMINGHAM STORAGE W TML,21214
,IMNGTEX,IMMINGHAM TEXACO,21233
,IMNGTMD,IMMINGHAM T.M.D.,21210
,IMNGTRQ,IMMINGHAM TRANSIT QUAY,21212
,IMNGUSR,IMMINGHAM YD SPECIFIC USER,21220
INC,INCE,INCE,35121
,INCEMSJ,INCE MOSS JN,35391
,INCEMST,INCE MOSS TIP,35151
,INCHNNS,INCHCOONANS L.C.,0
,INCLEA,INCHLEA,1152
INE,INEL,INCE & ELTON,38379
,INELENC,INCE & ELTON ENCIRC WORKS,38381
,INELSB,INCE SHELLSTAR STOPBD,38381
,INGT679,INGATESTONE SIGNAL L679,50229
,INGTSTL,INGATESTONE LOOP,50228
INT,INGTSTN,INGATESTONE,50227
,INHRALC,INCHYRA LEVEL CROSSING,3073
,INHTUE,INCHTURE LEVEL CROSSING,3071
,INHTURE,INCHTURE L.C.,0
,INNERWK,INNERWICK G.S.P.,4829
INS,INSCH,INSCH,2029
,INSCHCE,INSCH C.E.,2028
INP,INVERKP,INVERKIP,7004
ING,INVGWRE,INVERGOWRIE,3067
,INVKDRS,INVERKEILOR DN REFUGE SDG,3020
,INVKLOR,INVERKEILOR,3021
INH,INVRSHN,INVERSHIN,1035
,INVURCE,INVERURIE C.E.,2032
INR,INVURIE,INVERURIE,2031
,INVURNJ,INVERURIE NORTH JUNCTION,2034
,INVURTB,INVERURIE TURNBACK SIDING,2035
,INVURYD,INVERURIE YARD,2033
,IPSW295,IPSWICH SIGNAL CO295,49222
,IPSW297,IPSWICH SIGNAL CO297,49219
,IPSW326,IPSWICH SIGNAL CO326,49210
,IPSW328,IPSWICH SIGNAL CO.328,49208
,IPSW333,IPSWICH SIGNAL CO333,49229
,IPSW335,IPSWICH SIGNAL CO335,49230
,IPSW351,IPSWICH SIGNAL CO351,49227
,IPSW352,IPSWICH SIGNAL CO352,49228
,IPSW820,IPSWICH SIGNAL CO820,49216
,IPSW822,IPSWICH SIGNAL CO.822,49207
,IPSW830,IPSWICH SIGNAL CO830,49217
,IPSW832,IPSWICH SIGNAL CO832,49218
,IPSWBHJ,IPSWICH BOSS HALL JN,49225
XIP,IPSWCCS,IPSWICH C.S.D.,49199
,IPSWCHS,IPSWICH H.S.,49202
,IPSWCLQ,IPSWICH CLIFFE QUAY,49214
,IPSWCLY,IPSWICH LOWER YARD,49213
,IPSWCRD,IPSWICH CENTRE ROAD,0
,IPSWEPJ,IPSWICH EUROPA JUNCTION,49226
,IPSWESJ,IPSWICH EAST SUFFOLK JN,49193
,IPSWFDS,IPSWICH YARD,49204
,IPSWFLD,IPSWICH FIELD SIDINGS,49215
,IPSWGWF,IPSWICH GRIFFIN WHARF,49221
,IPSWHJN,IPSWICH HALIFAX JUNCTION,49223
IPS,IPSWICH,IPSWICH,49211
,IPSWLRD,IPSWICH LONDON ROAD,49206
XIQ,IPSWRCP,IPSWICH RECP.,49203
,IPSWRFL,IPSWICH RECEPTION RFL,49209
,IPSWSN1,IPSWICH SHUNT NECK 1,49224
,IPSWSS,IPSWICH S.S.,49200
XSO,IPSWSWD,SOUTHWOLD BUS,0
,IPSWTFP,IPSWICH TOP YARD F.P.,49211
,IPSWUDG,IPSWICH DOWN AND UP GOODS,49201
,IPSWYGB,IPSWICH RECEPTION GBRF,49205
IRL,IRLAM,IRLAM,33097
,IRNBDGE,IRONBRIDGE POWER STATION,64825
,IRNBFHH,IRONBRIDGE POWER STN (FHH),64826
,IRNBFLF,IRONBRIDGE P STN FASTLINE,64821
,IRNBGBR,IRONBRIDGE POWER STATION G,64831
,IRNBGSB,IRONBRIDGE PS STOPBOARD,64824
,IRNVLJN,IRONVILLE JUNCTION,56508
,IRONACT,IRON ACTON,81099
,IRTONRD,IRTON ROAD,0
IRV,IRVN,IRVINE,8401
,IRVN801,IRVINE SIG 801,8402
,IRVNBCC,IRVINE B.C.C.,8403
,IRVNCE,IRVINE C.E.,8405
,IRVNCPP,IRVINE CALEDONIAN PAPER,8415
,IRVNGBR,IRVINE CALEDONIAN PAPER GB,8416
,IRVNUPM,IRVINE UPM COLAS,8400
ISL,ISLEWTH,ISLEWORTH,87142
ISP,ISLIP,ISLIP,74558
IVR,IVER,IVER,73810
,IVRGRCE,INVERGORDON C.E.,1053
IGD,IVRGRD,INVERGORDON,1053
