CRS,Tiploc,Description,Stannox
,ALDWRS,ALDWARKE REPAIR SIDINGS,24502
ALE,ALERTN,LIVERPOOL SOUTH PW HL,36192
,ALERTN4,ALLERTON SIGNAL AN4,36196
,ALERTNJ,ALLERTON JN,36195
XAL,ALERTNS,ALLERTON DEPOT,36191
AAP,ALEXNDP,ALEXANDRA PALACE,54103
,ALEXPSS,ALEXANDRA PALACE SAND SDG,54103
XYX,ALFREMD,E MIDS DESIGNER OUTLET,0
ALF,ALFRETN,ALFRETON,56127
ALW,ALLENSW,ALLENS WEST,15702
,ALLEURL,URLAY NOOK CROSSOVER,15705
,ALLGARC,ALLINGTON A.R.C. SDG.,89312
,ALLGFHH,ALLINGTON HANSON AGG,89308
,ALLGREV,ALLINGTON A.R.C. REVERSE,89314
ALO,ALLOA,ALLOA,3375
,ALLOALP,ALLOA LOOP,3373
ASS,ALNESS,ALNESS,1058
,ALNGEJN,ALLINGTON EAST JN,44505
,ALNGJN,ALLINGTON WEST JN,44509
,ALNGNJN,ALLINGTON NORTH JN,44507
,ALNMILL,LITTLE MILL LC,12111
ALM,ALNMOTH,ALNMOUTH FOR ALNWICK,12112
,ALNMUES,ALNMOUTH UP ENG SIDINGS,12125
ALR,ALRESFD,ALRESFORD (ESSEX),50027
,ALRSBUS,ALRESFORD (SWAN),0
ARF,ALRSFRD,ALRESFORD,87018
,ALRWAS,ALREWAS L.C.,66040
,ALSAEJN,ALSAGER EAST JN,42412
ASG,ALSAGER,ALSAGER,42412
,ALSAUDG,ALSAGER UP & DN GDS LOOP,42413
,ALSCGF,ALLSCOTT GF,64705
,ALSCTSW,ALLSCOTT SDGS,64704
,ALSCUPT,UPTON MAGNA,64703
AYH,ALSHAM,AYLESHAM,89515
XCX,ALSTONS,ALSTONE C. SIDINGS,68077
,ALTFTJN,ALTOFTS JN,17196
ALN,ALTHORN,ALTHORNE,50305
ABC,ALTNBRC,ALTNABREAC,1010
,ALTNCCE,ALTNABREAC C.E.,1011
,ALTOBUS,ALTON (HIGH STREET),0
AON,ALTON,ALTON,87021
ALP,ALTPE,ALTHORPE,22075
ALT,ALTRNHM,ALTRINCHAM,37225
ATW,ALTT,ALTON TOWERS,0
ALV,ALVCHRC,ALVECHURCH,66527
ARP,ALVCRLP,ALVECHURCH RED LION PUB,0
,ALVES,ALVES JN,2004
ALX,ALXANDR,ALEXANDRIA,6123
,ALXNJTC,ALEXANDRA DOCK JN. T.C.,76470
,ALXNLHS,ALEXANDRA DOCK JN YD LHS,76474
,ALXNUDG,ALEXANDRA DOCKS UDG,76469
AXP,ALXPD,ALEXANDRA PARADE,6525
XAJ,AMBERGJ,AMBERGATE JN,57110
AMB,AMBERGT,AMBERGATE,57013
,AMBEWIN,WINGFIELD,57001
,AMBRIEU,AMBERIEU,780
,AMERMWD,MANTLES WOOD,70362
AMR,AMERSHM,AMERSHAM,70361
AMI,AMIENS,AMIENS,0
AMW,AMLWCH,AMLWCH,40021
,AMLWOCT,AMLWCH ASSOCTD OCTEL SDG,40021
AMY,AMLY,AMBERLEY,87957
AMF,AMMANFD,AMMANFORD,79064
,AMNG294,AMINGTON JN SIG NL1294,68996
,AMNG459,AMINGTON JN SIG NL9459,68997
,AMNG462,AMINGTON JN SIG NL9462,68998
